MODEL,YEAR,PRICE,TRANSMISSION,MILEAGE,FUEL_TYPE,TAX,MPG,ENGINE_SIZE
E Class,2018,20795,SEMI-AUTO,42097,DIESEL,145,65.7,2
A Class,2014,13799,SEMI-AUTO,52311,DIESEL,20,64.2,2.1
E Class,2019,24999,SEMI-AUTO,13967,DIESEL,145,72.4,2
E Class,2019,26499,SEMI-AUTO,2638,DIESEL,145,72.4,2
A Class,2019,21499,SEMI-AUTO,9198,DIESEL,150,56.5,2
B Class,2014,9999,SEMI-AUTO,53516,DIESEL,30,60.1,1.8
E Class,2019,26999,SEMI-AUTO,6134,DIESEL,150,72.4,2
E Class,2017,19999,SEMI-AUTO,27381,DIESEL,20,72.4,2
M Class,2015,19995,SEMI-AUTO,47808,DIESEL,300,39.2,3
CL Class,2020,32499,SEMI-AUTO,2000,DIESEL,145,55.4,2
C Class,2015,13448,SEMI-AUTO,31878,DIESEL,20,65.7,2.1
X-CLASS,2018,33991,AUTOMATIC,11366,DIESEL,265,31.4,3
X-CLASS,2020,31991,AUTOMATIC,303,DIESEL,265,35.8,2.3
X-CLASS,2019,37891,AUTOMATIC,303,DIESEL,265,31.4,3
X-CLASS,2019,22995,AUTOMATIC,9772,DIESEL,265,35.8,2.3
E Class,2019,39950,SEMI-AUTO,9200,DIESEL,145,72.4,2
A Class,2016,14495,SEMI-AUTO,55769,DIESEL,20,68.9,2.1
GLA Class,2015,13995,SEMI-AUTO,62760,DIESEL,20,62.8,2.1
GLC Class,2016,22499,SEMI-AUTO,49822,DIESEL,125,56.5,2.1
GLC Class,2017,26999,SEMI-AUTO,35293,DIESEL,145,56.5,2.1
CL Class,2015,15995,SEMI-AUTO,37544,PETROL,125,51.4,1.6
CL Class,2019,21995,MANUAL,13329,PETROL,150,44.1,1.6
E Class,2017,25995,AUTOMATIC,22000,DIESEL,145,70.6,2
E Class,2016,19990,SEMI-AUTO,43000,DIESEL,160,51.4,3
C Class,2014,10190,SEMI-AUTO,62448,DIESEL,150,56.5,2.1
C Class,2016,18995,SEMI-AUTO,38305,DIESEL,30,64.2,2.1
GLA Class,2015,17485,SEMI-AUTO,36462,DIESEL,125,55.4,2.1
A Class,2017,17695,AUTOMATIC,7145,DIESEL,145,74.3,1.5
E Class,2016,19845,AUTOMATIC,32741,DIESEL,30,65.7,2
GLC Class,2016,23245,SEMI-AUTO,21210,DIESEL,125,56.5,2.1
GLA Class,2016,19495,AUTOMATIC,20957,DIESEL,125,56.5,2.1
A Class,2017,15995,SEMI-AUTO,10839,PETROL,145,55.4,1.6
C Class,2016,15998,SEMI-AUTO,25202,DIESEL,30,65.7,1.6
C Class,2017,24698,SEMI-AUTO,28631,DIESEL,150,67.3,2.1
GLA Class,2017,30998,SEMI-AUTO,13409,PETROL,235,38.2,2
C Class,2016,14398,SEMI-AUTO,29002,DIESEL,20,65.7,2.1
GLA Class,2015,15998,SEMI-AUTO,38858,DIESEL,20,67.3,2.1
C Class,2014,15998,SEMI-AUTO,66140,DIESEL,125,60.1,2.1
GLC Class,2017,23998,SEMI-AUTO,39647,DIESEL,125,56.5,2.1
V Class,2018,21996,MANUAL,32095,DIESEL,145,46.3,2.1
V Class,2018,19346,MANUAL,34483,DIESEL,150,46.3,2.1
V Class,2019,20391,AUTOMATIC,18812,DIESEL,150,48.7,2.1
GLA Class,2019,20995,MANUAL,6587,PETROL,145,40.9,1.6
C Class,2018,19950,SEMI-AUTO,33082,DIESEL,145,64.2,2.1
E Class,2013,11950,AUTOMATIC,63903,DIESEL,30,58.9,2.1
E Class,2016,15995,SEMI-AUTO,60931,DIESEL,125,58.9,2.1
E Class,2013,11950,SEMI-AUTO,63903,DIESEL,30,58.9,2.1
E Class,2016,15995,SEMI-AUTO,60931,DIESEL,125,58.9,2.1
C Class,2018,19950,SEMI-AUTO,33082,DIESEL,145,64.2,2.1
A Class,2017,17695,SEMI-AUTO,7145,DIESEL,150,74.3,1.5
CLS Class,2016,21995,SEMI-AUTO,31689,DIESEL,160,51.4,3
C Class,2016,21495,SEMI-AUTO,16723,DIESEL,125,60.1,2.1
C Class,2017,16679,AUTOMATIC,24425,DIESEL,145,64.2,2.1
A Class,2013,11036,MANUAL,50674,DIESEL,125,61.4,1.8
A Class,2013,12498,SEMI-AUTO,38301,PETROL,150,49.6,1.6
GLA Class,2015,14998,SEMI-AUTO,45537,DIESEL,20,62.8,2.1
C Class,2015,15998,SEMI-AUTO,32023,DIESEL,30,64.2,2.1
A Class,2014,13750,AUTOMATIC,49211,DIESEL,30,64.2,1.8
GLC Class,2016,22995,SEMI-AUTO,30000,DIESEL,125,56.5,2.1
GLA Class,2019,18990,SEMI-AUTO,15000,PETROL,145,44.8,1.6
C Class,2018,17990,SEMI-AUTO,27000,PETROL,145,48.7,2
C Class,2017,16490,SEMI-AUTO,17000,DIESEL,20,65.7,2.1
V Class,2016,36999,MANUAL,20455,DIESEL,200,46.3,2.1
C Class,2015,14490,SEMI-AUTO,49988,DIESEL,30,61.4,2.1
GLA Class,2016,15490,MANUAL,25978,DIESEL,30,64.2,2.1
A Class,2014,9914,MANUAL,55058,DIESEL,20,72.4,1.5
C Class,2017,16350,SEMI-AUTO,14893,DIESEL,30,64.2,1.6
C Class,2015,10477,SEMI-AUTO,81816,PETROL,125,53.3,2
A Class,2014,11353,MANUAL,53520,DIESEL,30,64.2,2.1
E Class,2017,20998,SEMI-AUTO,17751,DIESEL,150,52.3,3
CL Class,2015,12498,SEMI-AUTO,68517,PETROL,125,51.4,1.6
C Class,2018,18998,SEMI-AUTO,15408,PETROL,145,50.4,2
GLA Class,2017,19780,MANUAL,18458,PETROL,145,47.1,1.6
A Class,2016,14056,MANUAL,32846,DIESEL,20,68.9,1.5
CL Class,2015,15300,MANUAL,33004,PETROL,125,50.4,1.6
A Class,2016,15990,MANUAL,17071,DIESEL,30,62.8,2.1
C Class,2017,19498,SEMI-AUTO,22424,DIESEL,30,60.1,2.1
GLE Class,2016,28498,SEMI-AUTO,22282,DIESEL,205,47.9,2.1
CL Class,2017,18995,SEMI-AUTO,24231,DIESEL,145,67.3,2.1
B Class,2014,8160,MANUAL,61800,DIESEL,30,61.4,1.5
CL Class,2017,19810,SEMI-AUTO,3857,DIESEL,20,68.9,2.1
CL Class,2015,16998,SEMI-AUTO,34667,DIESEL,30,62.8,2.1
C Class,2017,16998,SEMI-AUTO,26281,DIESEL,30,65.7,1.6
E Class,2016,20498,SEMI-AUTO,25891,DIESEL,150,54.3,3
A Class,2019,21998,MANUAL,3270,PETROL,150,28.5,1.3
A Class,2015,12798,MANUAL,54859,DIESEL,20,70.6,1.5
A Class,2014,10490,MANUAL,37642,DIESEL,0,78.5,1.5
E Class,2017,20157,SEMI-AUTO,13760,DIESEL,145,72.4,2
A Class,2015,22553,AUTOMATIC,25191,PETROL,200,40.9,2
GLC Class,2017,38000,SEMI-AUTO,18120,PETROL,150,34,3
E Class,2017,27250,SEMI-AUTO,26000,DIESEL,145,70.6,2
C Class,2015,11850,SEMI-AUTO,39877,DIESEL,145,53.3,2.1
GLA Class,2015,22500,SEMI-AUTO,50012,PETROL,235,37.7,2
C Class,2016,16990,SEMI-AUTO,34258,DIESEL,30,64.2,2.1
E Class,2016,17240,SEMI-AUTO,30277,DIESEL,20,72.4,2
A Class,2015,11990,SEMI-AUTO,42600,DIESEL,30,68.9,1.5
C Class,2014,16360,SEMI-AUTO,46425,DIESEL,30,64.2,2.1
GLC Class,2018,27500,SEMI-AUTO,23303,DIESEL,145,56.5,2.1
SLK,2014,11999,SEMI-AUTO,50027,DIESEL,145,56.5,2
GLC Class,2017,27498,SEMI-AUTO,23351,DIESEL,145,56.5,2.1
A Class,2017,15998,SEMI-AUTO,38457,DIESEL,20,68.9,2.1
A Class,2015,14999,SEMI-AUTO,38938,DIESEL,20,68.9,2.1
C Class,2017,17000,SEMI-AUTO,23400,DIESEL,145,64.2,2.1
C Class,2017,16210,SEMI-AUTO,32632,DIESEL,145,64.2,2.1
CL Class,2016,16747,MANUAL,19495,DIESEL,20,67.3,2.1
B Class,2015,11640,MANUAL,34070,DIESEL,30,65.7,2.1
CL Class,2018,23440,SEMI-AUTO,10180,DIESEL,145,51.4,2.2
V Class,2018,17495,MANUAL,38004,DIESEL,145,46.3,2.1
A Class,2016,16490,SEMI-AUTO,27189,DIESEL,20,68.9,2.1
E Class,2017,20400,SEMI-AUTO,25069,DIESEL,145,72.4,2
GLA Class,2014,14790,SEMI-AUTO,52722,DIESEL,145,55.4,2.1
C Class,2016,16990,SEMI-AUTO,35394,DIESEL,30,64.2,2.1
A Class,2014,10790,MANUAL,43613,PETROL,145,49.6,1.6
E Class,2017,16998,AUTOMATIC,59946,DIESEL,20,72.4,2
A Class,2017,19998,SEMI-AUTO,28129,PETROL,145,45.6,2
B Class,2013,8998,SEMI-AUTO,49674,DIESEL,30,64.2,1.8
C Class,2016,15870,AUTOMATIC,40998,DIESEL,30,62.8,2.1
C Class,2016,16700,AUTOMATIC,23539,DIESEL,30,64.2,2.1
E Class,2016,16990,SEMI-AUTO,25711,DIESEL,125,58.9,2.1
A Class,2015,10490,SEMI-AUTO,49816,DIESEL,0,70.6,1.5
C Class,2014,11149,SEMI-AUTO,39173,DIESEL,145,56.5,2.1
GLA Class,2016,17490,SEMI-AUTO,21469,DIESEL,20,67.3,2.1
A Class,2014,13532,SEMI-AUTO,31279,DIESEL,20,64.2,2.1
E Class,2017,22881,SEMI-AUTO,15756,DIESEL,165,50.4,3
CL Class,2015,16490,SEMI-AUTO,41300,DIESEL,20,67.3,2.1
CL Class,2015,16500,MANUAL,34000,PETROL,125,50.4,1.6
GLC Class,2016,25750,SEMI-AUTO,17000,DIESEL,125,56.5,2.1
GLC Class,2017,27495,AUTOMATIC,36061,DIESEL,145,56.5,2.1
C Class,2016,20995,SEMI-AUTO,14909,DIESEL,30,64.2,2.1
GLA Class,2016,28495,AUTOMATIC,9884,PETROL,235,38.2,2
E Class,2018,25495,SEMI-AUTO,18752,DIESEL,145,70.6,2
A Class,2015,13177,AUTOMATIC,18284,PETROL,125,50.4,1.6
C Class,2014,15971,SEMI-AUTO,14354,PETROL,125,52.3,2
A Class,2015,18500,SEMI-AUTO,29917,PETROL,160,45.6,2
A Class,2016,15765,MANUAL,17678,DIESEL,20,68.9,1.5
C Class,2014,14495,SEMI-AUTO,56958,DIESEL,30,64.2,2.1
C Class,2016,15990,SEMI-AUTO,26957,DIESEL,30,65.7,1.6
A Class,2016,16500,SEMI-AUTO,37538,DIESEL,20,74.3,1.5
A Class,2015,18500,AUTOMATIC,29917,PETROL,160,45.6,2
A Class,2014,13250,AUTOMATIC,49211,DIESEL,30,64.2,1.8
CL Class,2014,15250,MANUAL,28612,DIESEL,30,64.2,1.8
GLE Class,2016,24000,AUTOMATIC,55015,DIESEL,200,47.9,2.1
A Class,2015,15000,AUTOMATIC,20275,PETROL,125,53.3,1.6
A Class,2016,14250,MANUAL,54446,DIESEL,20,68.9,1.5
E Class,2017,20498,SEMI-AUTO,32984,DIESEL,20,67.3,2
GLA Class,2015,18902,AUTOMATIC,23432,DIESEL,125,56.5,2.1
GLC Class,2016,24486,AUTOMATIC,22955,DIESEL,125,56.5,2.1
E Class,2017,19696,AUTOMATIC,26002,DIESEL,145,65.7,2
A Class,2018,18562,SEMI-AUTO,18905,DIESEL,145,65.7,1.5
A Class,2017,13790,MANUAL,18727,PETROL,150,52.3,1.6
A Class,2016,14590,MANUAL,12995,DIESEL,20,72.4,1.5
A Class,2018,16998,SEMI-AUTO,23951,PETROL,150,49.6,1.6
C Class,2015,14698,SEMI-AUTO,39687,PETROL,125,52.3,2
C Class,2014,14288,SEMI-AUTO,54230,DIESEL,30,64.2,2.1
B Class,2013,9750,SEMI-AUTO,33706,DIESEL,30,64.2,1.8
CL Class,2017,20995,AUTOMATIC,9514,DIESEL,145,67.3,2.1
A Class,2017,15995,SEMI-AUTO,10839,PETROL,145,55.4,1.6
A Class,2015,11995,SEMI-AUTO,66037,DIESEL,20,68.9,2.1
B Class,2017,14995,SEMI-AUTO,24104,DIESEL,145,68.9,2.1
GLA Class,2016,16995,MANUAL,16928,DIESEL,20,67.3,2.1
B Class,2016,11495,MANUAL,52803,DIESEL,20,68.9,1.5
GLC Class,2015,22965,AUTOMATIC,18580,DIESEL,125,56.5,2.1
C Class,2017,19465,AUTOMATIC,35599,PETROL,145,47.9,2
E Class,2013,13965,SEMI-AUTO,43475,DIESEL,160,51.4,2.1
GLA Class,2016,16965,SEMI-AUTO,35465,DIESEL,30,64.2,2.1
A Class,2018,19998,SEMI-AUTO,4888,PETROL,145,53.3,1.3
A Class,2013,9480,SEMI-AUTO,63922,DIESEL,30,65.7,1.8
C Class,2019,27036,AUTOMATIC,10415,DIESEL,145,61.4,2
E Class,2019,25276,AUTOMATIC,15156,DIESEL,145,67.3,2
E Class,2019,27316,SEMI-AUTO,6184,DIESEL,145,58.9,2
A Class,2019,22096,AUTOMATIC,12272,DIESEL,145,67.3,1.5
C Class,2019,30236,AUTOMATIC,7831,PETROL,145,44.1,2
B Class,2019,22096,AUTOMATIC,11706,PETROL,145,45.6,1.3
C Class,2017,16402,AUTOMATIC,22214,PETROL,125,53.3,2
C Class,2019,20682,AUTOMATIC,10920,DIESEL,145,64.2,2.1
C Class,2018,29232,SEMI-AUTO,8673,DIESEL,145,54.3,2
A Class,2016,12862,MANUAL,34458,PETROL,145,50.4,1.6
E Class,2013,10996,SEMI-AUTO,72351,DIESEL,125,58.9,2.1
CL Class,2015,13490,MANUAL,49098,DIESEL,20,64.2,2.1
A Class,2017,17490,AUTOMATIC,12355,DIESEL,145,68.9,2.1
C Class,2016,16990,SEMI-AUTO,35991,DIESEL,30,64.2,2.1
E Class,2014,11472,SEMI-AUTO,83417,DIESEL,145,54.3,2.1
A Class,2016,27995,SEMI-AUTO,11532,PETROL,200,40.9,2
B Class,2015,12995,SEMI-AUTO,21578,DIESEL,20,68.9,2.1
A Class,2015,19600,AUTOMATIC,29917,PETROL,160,45.6,2
A Class,2015,15500,AUTOMATIC,20275,PETROL,125,53.3,1.6
A Class,2020,25980,MANUAL,2502,PETROL,145,47.1,1.3
A Class,2017,18012,SEMI-AUTO,27999,DIESEL,20,67.3,2.1
C Class,2017,22532,SEMI-AUTO,20150,PETROL,145,47.1,2
CLS Class,2015,20412,SEMI-AUTO,40270,DIESEL,160,51.4,3
GLA Class,2018,22412,AUTOMATIC,8109,DIESEL,145,56.5,2.1
CLS Class,2018,31026,AUTOMATIC,17663,DIESEL,145,48.7,2.9
E Class,2019,25146,AUTOMATIC,14338,DIESEL,145,72.4,2
B Class,2019,22076,AUTOMATIC,11864,PETROL,145,45.6,1.3
E Class,2017,18936,AUTOMATIC,21195,DIESEL,20,72.4,2
E Class,2017,19722,AUTOMATIC,14222,DIESEL,145,72.4,2
C Class,2016,17990,SEMI-AUTO,30795,DIESEL,30,61.4,2.1
C Class,2017,20981,MANUAL,7693,PETROL,145,53.3,2
E Class,2016,20782,SEMI-AUTO,18216,DIESEL,160,52.3,3
GLS Class,2019,67600,AUTOMATIC,2010,DIESEL,145,34,3
A Class,2017,16592,SEMI-AUTO,28082,DIESEL,145,70.6,2.1
GLC Class,2018,29712,SEMI-AUTO,15492,DIESEL,145,56.5,2.1
A Class,2019,20776,SEMI-AUTO,6722,DIESEL,145,65.7,1.5
V Class,2018,19998,MANUAL,22058,DIESEL,145,46.3,2.1
SL CLASS,2017,17765,SEMI-AUTO,19235,DIESEL,145,70.6,2.1
C Class,2018,18265,SEMI-AUTO,16974,DIESEL,145,64.2,2.1
A Class,2014,10765,MANUAL,45000,DIESEL,30,64.2,2.1
GLA Class,2016,16999,SEMI-AUTO,20121,DIESEL,30,64.2,2.1
A Class,2014,9761,MANUAL,50116,DIESEL,0,78.5,1.5
GLA Class,2017,16070,MANUAL,21609,DIESEL,145,67.3,2.1
CL Class,2017,17990,SEMI-AUTO,29519,DIESEL,20,67.3,2.1
GLA Class,2014,11300,MANUAL,89286,DIESEL,30,62.8,2.1
C Class,2017,21440,SEMI-AUTO,13096,DIESEL,145,61.4,2.1
B Class,2019,23990,AUTOMATIC,2501,DIESEL,145,55.4,2
C Class,2017,20200,SEMI-AUTO,21462,DIESEL,145,61.4,2.1
V Class,2019,58800,AUTOMATIC,1253,DIESEL,145,36.2,2
E Class,2019,44160,AUTOMATIC,4198,PETROL,145,32.1,3
GLE Class,2018,30991,SEMI-AUTO,20155,DIESEL,150,47.9,2.1
C Class,2014,16990,SEMI-AUTO,40000,PETROL,145,49.6,2
GL Class,2013,27482,AUTOMATIC,49847,DIESEL,325,35.3,3
E Class,2017,18966,SEMI-AUTO,29039,DIESEL,145,65.7,2
GLC Class,2018,42732,SEMI-AUTO,14403,PETROL,145,34,3
GLE Class,2019,57383,AUTOMATIC,7629,PETROL,145,29.5,3
GLA Class,2017,21330,SEMI-AUTO,7565,DIESEL,145,56.5,2.1
C Class,2018,19660,SEMI-AUTO,5232,DIESEL,145,65.7,1.6
C Class,2017,22990,SEMI-AUTO,15527,DIESEL,145,67.3,2.1
C Class,2018,22770,SEMI-AUTO,21200,DIESEL,145,67.3,2.1
C Class,2018,19775,SEMI-AUTO,45335,DIESEL,145,67.3,2.1
C Class,2017,24660,SEMI-AUTO,9873,DIESEL,20,67.3,2.1
C Class,2017,22495,AUTOMATIC,19779,DIESEL,145,67.3,2.1
GLC Class,2019,34420,AUTOMATIC,4450,PETROL,145,34,2
A Class,2019,26470,AUTOMATIC,5120,DIESEL,145,56.5,2
A Class,2019,32300,AUTOMATIC,9509,PETROL,145,35.8,2
E Class,2019,34820,AUTOMATIC,6999,DIESEL,145,45.6,2
SL CLASS,2016,16362,AUTOMATIC,29883,DIESEL,30,70.6,2.1
CL Class,2017,17092,SEMI-AUTO,27938,DIESEL,145,67.3,2.1
CLS Class,2019,35590,AUTOMATIC,4105,DIESEL,145,48.7,2.9
A Class,2019,21630,AUTOMATIC,9931,DIESEL,145,62.8,1.5
C Class,2019,33530,AUTOMATIC,6780,PETROL,145,30.4,3
GLA Class,2020,27480,SEMI-AUTO,864,PETROL,145,37.2,1.6
GLA Class,2017,17891,SEMI-AUTO,31000,DIESEL,20,67.3,2.1
GLA Class,2017,17991,SEMI-AUTO,43224,PETROL,145,48.7,1.6
GLC Class,2018,30862,SEMI-AUTO,22216,DIESEL,145,47.9,3
GLE Class,2015,37871,SEMI-AUTO,33564,PETROL,325,31.7,3
E Class,2017,19922,SEMI-AUTO,22198,DIESEL,20,72.4,2
A Class,2015,13491,SEMI-AUTO,42331,DIESEL,30,65.7,1.5
A Class,2016,19491,SEMI-AUTO,25550,PETROL,165,45.6,2
C Class,2017,17791,SEMI-AUTO,20392,DIESEL,150,64.2,2.1
CLS Class,2016,21691,SEMI-AUTO,33063,DIESEL,165,51.4,3
B Class,2017,13991,SEMI-AUTO,29643,DIESEL,20,68.9,1.5
B Class,2019,28010,AUTOMATIC,5999,PETROL,145,37.7,2
GLE Class,2019,52800,AUTOMATIC,3317,DIESEL,145,36.7,2
A Class,2019,21480,SEMI-AUTO,10,DIESEL,145,56.5,2
B Class,2019,23480,AUTOMATIC,10,DIESEL,145,55.4,2
GLA Class,2019,30000,AUTOMATIC,3099,PETROL,145,35.8,1.6
A Class,2019,28800,AUTOMATIC,4672,DIESEL,145,62.8,1.5
A Class,2019,26990,AUTOMATIC,2380,DIESEL,145,62.8,1.5
GLC Class,2019,42600,AUTOMATIC,8491,DIESEL,145,40.9,2
V Class,2019,20000,MANUAL,23580,DIESEL,145,46.3,2.1
A Class,2015,19600,AUTOMATIC,29917,PETROL,160,45.6,2
A Class,2017,15490,MANUAL,40014,DIESEL,30,62.8,2.1
A Class,2019,24451,AUTOMATIC,12001,DIESEL,145,65.7,1.5
C Class,2019,28980,AUTOMATIC,8501,DIESEL,145,61.4,2
A Class,2020,24260,SEMI-AUTO,5501,DIESEL,145,56.5,2
C Class,2020,28220,SEMI-AUTO,4501,DIESEL,145,54.3,1.6
B Class,2020,20350,MANUAL,1501,PETROL,145,45.6,1.3
GLE Class,2017,41391,SEMI-AUTO,30256,PETROL,325,31.7,3
E Class,2017,28012,SEMI-AUTO,11340,PETROL,145,40.4,2
A Class,2020,25961,MANUAL,871,PETROL,145,44.8,1.3
GLC Class,2018,28482,SEMI-AUTO,17004,PETROL,145,43.5,2
C Class,2019,49280,AUTOMATIC,962,PETROL,145,28.5,4
C Class,2019,28810,AUTOMATIC,2695,DIESEL,145,55.4,2
CLS Class,2019,35980,AUTOMATIC,6273,DIESEL,145,48.7,2.9
C Class,2019,30000,AUTOMATIC,7311,PETROL,145,44.1,2
B Class,2019,23540,SEMI-AUTO,6452,DIESEL,145,55.4,2
A Class,2019,26480,AUTOMATIC,2856,PETROL,145,47.9,1.3
GLE Class,2017,27498,SEMI-AUTO,32662,DIESEL,145,42.8,3
A Class,2016,34981,SEMI-AUTO,13912,PETROL,240,40.9,2
CL Class,2017,16567,SEMI-AUTO,37093,DIESEL,20,70.6,2.1
GLC Class,2018,28172,SEMI-AUTO,10149,DIESEL,145,56.5,2.1
GLC Class,2017,24481,SEMI-AUTO,45106,DIESEL,125,56.5,2.1
C Class,2017,14702,MANUAL,52207,PETROL,145,53.3,2
E Class,2019,25905,SEMI-AUTO,7695,DIESEL,145,67.3,2
GLA Class,2017,19932,SEMI-AUTO,29155,DIESEL,125,56.5,2.1
GLC Class,2019,37045,SEMI-AUTO,1509,DIESEL,145,44.8,2
GLA Class,2016,15382,MANUAL,41776,DIESEL,20,67.3,2.1
E Class,2019,44970,AUTOMATIC,103,PETROL,145,32.1,3
V Class,2019,47990,AUTOMATIC,2326,DIESEL,145,45.6,2.2
GLA Class,2016,20563,AUTOMATIC,34190,PETROL,200,43.5,2
GLA Class,2016,15541,MANUAL,42590,DIESEL,30,64.2,2.1
E Class,2018,23102,SEMI-AUTO,25319,DIESEL,145,61.4,2
GLA Class,2016,18431,SEMI-AUTO,24500,DIESEL,30,64.2,2.1
C Class,2015,17901,SEMI-AUTO,9601,PETROL,125,52.3,2
C Class,2017,19971,SEMI-AUTO,28735,DIESEL,145,58.9,2.1
B Class,2018,17871,MANUAL,4207,PETROL,145,49.6,1.6
C Class,2018,26281,SEMI-AUTO,10997,DIESEL,145,67.3,2.1
A Class,2017,15790,MANUAL,26993,DIESEL,20,68.9,1.5
V Class,2019,17699,MANUAL,20578,DIESEL,145,46.3,2.1
C Class,2014,14795,AUTOMATIC,20417,PETROL,125,52.3,2
C Class,2018,19840,AUTOMATIC,14467,DIESEL,145,61.4,2.1
C Class,2014,13791,SEMI-AUTO,53144,DIESEL,20,64.2,2.1
A Class,2014,11040,SEMI-AUTO,31905,DIESEL,20,70.6,1.5
C Class,2017,24360,SEMI-AUTO,14346,DIESEL,145,65.7,2.1
GLA Class,2017,17990,MANUAL,27325,PETROL,145,48.7,1.6
A Class,2017,16495,SEMI-AUTO,29062,DIESEL,145,74.3,1.5
E Class,2013,12230,AUTOMATIC,77492,DIESEL,160,51.4,2.1
C Class,2019,28332,AUTOMATIC,7866,DIESEL,145,56.5,2
GLC Class,2017,27892,SEMI-AUTO,34121,DIESEL,145,56.5,2.1
E Class,2017,22332,AUTOMATIC,20830,DIESEL,145,61.4,2
C Class,2016,17992,SEMI-AUTO,14160,DIESEL,20,64.2,2.1
E Class,2017,20472,AUTOMATIC,32183,DIESEL,145,72.4,2
A Class,2017,15012,MANUAL,34099,PETROL,125,51.4,1.6
A Class,2019,22276,AUTOMATIC,3477,DIESEL,145,67.3,1.5
E Class,2019,37980,AUTOMATIC,2138,DIESEL,145,53.3,2
GLC Class,2019,38570,AUTOMATIC,4187,DIESEL,145,40.9,2
B Class,2016,14152,MANUAL,18245,DIESEL,20,68.9,1.5
E Class,2017,18990,AUTOMATIC,23800,DIESEL,20,72.4,2
CL Class,2014,16990,AUTOMATIC,45000,PETROL,200,42.8,2
A Class,2014,12750,AUTOMATIC,37700,PETROL,125,52.3,1.6
GLC Class,2015,22795,SEMI-AUTO,27853,DIESEL,125,56.5,2.1
CL Class,2017,20895,MANUAL,21000,PETROL,200,42.2,2
A Class,2018,15732,AUTOMATIC,19281,DIESEL,145,74.3,1.5
C Class,2016,18833,AUTOMATIC,17593,DIESEL,30,64.2,2.1
E Class,2018,28306,AUTOMATIC,10656,DIESEL,145,70.6,2
C Class,2017,19502,SEMI-AUTO,37293,PETROL,145,49.6,2
A Class,2019,22306,AUTOMATIC,9722,DIESEL,145,67.3,1.5
B Class,2017,13600,AUTOMATIC,24549,DIESEL,20,68.9,1.5
C Class,2016,14700,AUTOMATIC,59023,DIESEL,30,64.2,1.6
C Class,2016,13200,MANUAL,52684,DIESEL,30,65.7,1.6
C Class,2014,13100,SEMI-AUTO,78845,DIESEL,30,64.2,2.1
A Class,2015,10914,MANUAL,61659,DIESEL,30,64.2,2.1
C Class,2013,10404,SEMI-AUTO,42477,PETROL,160,46.3,1.6
A Class,2013,8500,MANUAL,69031,PETROL,125,51.4,1.6
GLC Class,2017,24180,SEMI-AUTO,10139,DIESEL,125,56.5,2.1
A Class,2016,10691,MANUAL,65631,DIESEL,20,72.4,1.5
V Class,2018,19998,MANUAL,11726,DIESEL,145,46.3,2.1
A Class,2016,15790,MANUAL,20565,DIESEL,30,62.8,2.1
E Class,2016,15310,AUTOMATIC,41759,DIESEL,125,58.9,2.1
A Class,2014,9742,MANUAL,53120,DIESEL,20,72.4,1.5
A Class,2016,16820,SEMI-AUTO,27227,DIESEL,20,68.9,2.1
C Class,2016,17950,AUTOMATIC,20005,DIESEL,30,64.2,2.1
X-CLASS,2018,37493,AUTOMATIC,8043,DIESEL,260,31.4,3
V Class,2019,20750,AUTOMATIC,18625,DIESEL,145,48.7,2.1
V Class,2019,18450,MANUAL,16989,DIESEL,145,46.3,2.1
E Class,2013,10880,AUTOMATIC,56230,DIESEL,145,57.7,2.1
C Class,2017,15267,MANUAL,25820,PETROL,125,53.3,2
C Class,2016,18340,MANUAL,43650,DIESEL,30,65.7,2.1
GLA Class,2018,21240,SEMI-AUTO,14461,DIESEL,150,56.5,2.1
C Class,2017,20340,SEMI-AUTO,34611,DIESEL,30,64.2,2.1
C Class,2016,18247,AUTOMATIC,16975,HYBRID,0,134.5,2
E Class,2015,13547,AUTOMATIC,40925,DIESEL,125,57.7,2.1
C Class,2016,14933,MANUAL,21553,DIESEL,20,70.6,1.6
C Class,2015,13917,AUTOMATIC,43097,PETROL,125,52.3,2
A Class,2014,10490,MANUAL,38124,DIESEL,20,72.4,1.5
GLC Class,2016,24240,SEMI-AUTO,21258,DIESEL,125,56.5,2.1
C Class,2017,19980,SEMI-AUTO,38515,DIESEL,30,64.2,2.1
A Class,2015,11710,MANUAL,22171,PETROL,125,51.4,1.6
C Class,2018,22640,SEMI-AUTO,15867,PETROL,145,47.1,2
C Class,2017,19891,SEMI-AUTO,77706,DIESEL,20,67.3,2.1
A Class,2018,19891,SEMI-AUTO,25677,PETROL,150,53.3,1.3
GLA Class,2019,21699,SEMI-AUTO,8845,DIESEL,145,67.3,2.1
A Class,2017,18898,SEMI-AUTO,11388,DIESEL,20,67.3,2.1
GLC Class,2016,25498,SEMI-AUTO,14301,DIESEL,125,56.5,2.1
GLA Class,2016,15480,SEMI-AUTO,33283,DIESEL,20,67.3,2.1
B Class,2013,12500,SEMI-AUTO,42050,DIESEL,30,61.4,2.1
C Class,2015,15990,AUTOMATIC,26400,PETROL,125,52.3,2
V Class,2018,18998,MANUAL,28702,DIESEL,145,46.3,2.1
C Class,2017,24998,SEMI-AUTO,15754,DIESEL,145,67.3,2.1
C Class,2017,20498,SEMI-AUTO,5630,DIESEL,145,64.2,1.6
C Class,2013,11298,SEMI-AUTO,37964,PETROL,165,44.8,1.6
